date,ticker,delta_shares,price,cash_after
2025-05-27,IREN,-1424,9.239999771118164,20054.557534217834
2025-05-29,BE,-595,18.56999969482422,31103.707352638245
2025-05-29,OKLO,-248,52.93000030517578,44230.34742832184
2025-05-29,IREN,-1233,8.600000381469727,54834.14789867401
2025-05-29,SNDK,900,38.599998474121094,20094.149271965027
2025-05-30,BE,-1872,18.469999313354492,54669.987986564636
2025-05-30,OKLO,644,52.720001220703125,20718.307200431824
2025-05-30,IREN,-4043,8.390000343322754,54639.07858848572
2025-05-30,SNDK,918,37.689998626708984,20039.65984916687
2025-06-02,OKLO,1294,52.439998626708984,-47817.698373794556
2025-06-02,SNDK,-1818,37.33000183105469,20048.244955062866
2025-06-03,OKLO,-1297,49.77000045776367,84599.93554878235
2025-06-03,IREN,7263,8.890000343322754,20031.863055229187
2025-06-04,BE,1631,20.25,-12995.886944770813
2025-06-04,OKLO,-624,49.09000015258789,17636.27315044403
2025-06-04,IREN,-3759,9.430000305175781,53083.64429759979
2025-06-04,SNDK,829,39.81999969482422,20072.864550590515
2025-06-06,BMNR,-2581,7.542784690856934,19543.91481781006
2025-06-06,BE,749,21.780000686645508,3230.6943035125732
2025-06-06,OKLO,-673,50.290000915527344,37075.864919662476
2025-06-06,IREN,1813,9.75,19399.114919662476
2025-06-06,SNDK,495,39.150001525878906,19.864164352416992
2025-06-09,BE,-498,21.43000030517578,10692.004316329956
2025-06-09,OKLO,743,54.2599983215332,-29623.174436569214
2025-06-09,IREN,-1416,10.34000015258789,-14981.73422050476
2025-06-09,SNDK,-360,41.81999969482422,73.46566963195801
2025-06-18,BE,-1882,21.5,40536.46566963196
2025-06-18,OKLO,625,62.02000045776367,1773.965383529663
2025-06-18,IREN,-3901,9.800000190734863,40003.766127586365
2025-06-18,SNDK,856,46.619998931884766,97.04704189300537
2025-06-23,BE,2377,22.559999465942383,-53528.07168865204
2025-06-23,OKLO,-1368,55.11000061035156,21862.4091463089
2025-06-23,IREN,5032,10.65999984741211,-31778.710085868835
2025-06-23,SNDK,-678,46.95000076293945,53.39043140411377
2025-06-25,BE,-467,21.600000381469727,10140.590609550476
2025-06-25,OKLO,742,55.56999969482422,-31092.349164009094
2025-06-25,IREN,-1556,11.869999885559082,-12622.629342079163
2025-06-25,SNDK,-269,47.25,87.6206579208374
2025-06-26,BE,-1910,22.329999923706055,42737.9205121994
2025-06-26,OKLO,-742,55.849998474121094,84178.61937999725
2025-06-26,IREN,3051,13.109999656677246,44180.010427474976
2025-06-26,SNDK,931,47.439998626708984,13.371706008911133
2025-06-27,BE,2651,22.18000030517578,-58785.809103012085
2025-06-27,IREN,-2326,14.0,-26221.809103012085
2025-06-27,SNDK,-557,47.150001525878906,40.74174690246582
2025-07-01,BMNR,1295,45.98649215698242,-59511.76559638977
2025-07-01,BE,41,22.1299991607666,-60419.0955619812
2025-07-01,IREN,-289,15.229999542236328,-56017.6256942749
2025-07-01,SNDK,-1247,44.959999084472656,47.4931640625
2025-07-02,BMNR,395,58.48282241821289,-23053.22169113159
2025-07-02,BE,-2692,22.559999465942383,37678.2968711853
2025-07-02,IREN,2402,15.65999984741211,62.977237701416016
2025-07-03,BMNR,-1071,134.96035766601562,144605.52029800415
2025-07-03,BE,3448,24.239999771118164,61026.00108718872
2025-07-03,IREN,-1345,16.81999969482422,83648.9006767273
2025-07-03,SNDK,1801,46.40999984741211,64.49095153808594
2025-07-08,BMNR,98,111.4672622680664,-10859.300750732422
2025-07-08,BE,-157,24.299999237060547,-7044.200870513916
2025-07-08,OKLO,1494,53.52000045776367,-87003.08155441284
2025-07-08,IREN,-234,16.889999389648438,-83050.82169723511
2025-07-08,SNDK,-1801,46.16999816894531,101.34500503540039
2025-07-09,BMNR,419,66.70040893554688,-27846.12633895874
2025-07-09,BE,-651,28.709999084472656,-9155.916934967041
2025-07-09,OKLO,-1494,53.93000030517578,71415.50352096558
