date,ticker,delta_shares,price,cash_after
2025-09-08,SNDK,-15,70.49500274658203,99.966956615448
2025-09-09,BE,-856,55.0,47179.96695661545
2025-09-09,OKLO,225,73.97000122070312,30536.716681957245
2025-09-09,IREN,389,30.190000534057617,18792.80647420883
2025-09-09,SNDK,266,70.51000213623047,37.1459059715271
2025-09-10,BE,1079,62.959999084472656,-67896.69310617447
2025-09-10,OKLO,-872,73.75,-3586.693106174469
2025-09-10,IREN,-117,33.630001068115234,348.0170187950134
2025-09-10,SNDK,4,73.91999816894531,52.33702611923218
2025-09-12,BE,559,67.26000213623047,-37546.0041680336
2025-09-12,IREN,-2020,33.959999084472656,31053.193982601166
2025-09-12,SNDK,360,86.12999725341797,46.39497137069702
2025-09-15,BE,-1638,67.0199966430664,109825.14947271347
2025-09-15,OKLO,784,95.68000030517578,34812.02923345566
2025-09-15,IREN,2019,37.13999938964844,-40173.62953424454
2025-09-15,SNDK,-447,90.08999633789062,96.59882879257202
2025-09-16,BMNR,1005,55.913578033447266,-56096.54709482193
2025-09-16,OKLO,-198,95.83000183105469,-37122.2067322731
2025-09-16,IREN,-476,36.45000076293945,-19772.006369113922
2025-09-16,SNDK,-218,91.55000305175781,185.894296169281
2025-09-17,BMNR,-1005,57.05324172973633,57524.40223455429
2025-09-17,BE,1440,79.66999816894531,-57200.39512872696
2025-09-17,OKLO,-586,95.29000091552734,-1360.4545922279358
2025-09-17,IREN,-1543,37.900001525878906,57119.24776220322
2025-09-17,SNDK,607,93.97000122070312,79.45702123641968
2025-09-18,BMNR,990,59.9423942565918,-59263.51329278946
2025-09-18,BE,-708,80.97000122070312,-1936.7524285316467
2025-09-18,IREN,1634,36.31999969482422,-61283.63192987442
2025-09-18,SNDK,-621,98.87000274658203,114.63977575302124
2025-09-19,BMNR,-990,61.27200698852539,60773.92669439316
2025-09-19,BE,-732,84.93000030517578,122942.68691778183
2025-09-19,OKLO,914,135.22999572753906,-657.5291771888733
2025-09-19,IREN,-1634,38.63999938964844,62480.22982549667
2025-09-19,SNDK,610,102.20999908447266,132.13038396835327
2025-09-22,BE,732,86.2699966430664,-63017.507158756256
2025-09-22,OKLO,-464,140.3000030517578,2081.694257259369
2025-09-22,IREN,1508,41.900001525878906,-61103.50804376602
2025-09-22,SNDK,-596,102.91999816894531,236.81086492538452
2025-09-23,BMNR,1144,54.474002838134766,-62081.44838190079
2025-09-23,BE,73,77.37999725341797,-67730.1881814003
2025-09-23,OKLO,-450,142.64999389648438,-3537.6909279823303
2025-09-23,IREN,-16,41.77000045776367,-2869.3709206581116
2025-09-23,SNDK,-29,106.4000015258789,216.2291235923767
2025-09-24,BMNR,-1144,51.904754638671875,59595.268430233
2025-09-24,BE,-805,69.18000030517578,115285.1686758995
2025-09-24,OKLO,930,131.1699981689453,-6702.929621219635
2025-09-24,IREN,-1492,47.13999938964844,63629.949468135834
2025-09-24,SNDK,637,99.83000183105469,38.2383017539978
2025-09-25,OKLO,-930,119.12999725341797,110829.13574743271
2025-09-25,IREN,2441,46.290000915527344,-2164.7564873695374
2025-09-25,SNDK,-24,94.29000091552734,98.2035346031189
2025-09-26,BMNR,1443,50.485172271728516,-72751.90005350113
2025-09-26,BE,1036,70.31999969482422,-145603.41973733902
2025-09-26,IREN,-701,41.86000061035156,-116259.55930948257
2025-09-26,SNDK,-1198,97.12000274658203,90.20398092269897
2025-09-29,BMNR,746,53.204376220703125,-39600.26067972183
2025-09-29,BE,547,73.5999984741211,-79859.45984506607
2025-09-29,IREN,-1740,45.93000030517578,58.74068593978882
2025-09-30,BMNR,-1236,51.91475296020508,64225.375344753265
2025-09-30,BE,-998,84.56999969482422,148626.23504018784
2025-09-30,OKLO,443,111.62999725341797,99174.14625692368
2025-09-30,IREN,1055,46.93000030517578,49662.995934963226
2025-09-30,SNDK,441,112.19999694824219,182.79728078842163
2025-10-01,BMNR,-953,52.344627380371094,50067.227174282074
2025-10-01,BE,2267,90.19000244140625,-154393.5083603859
2025-10-01,OKLO,-443,115.93000030517578,-103036.51822519302
2025-10-01,IREN,-1055,47.08000183105469,-53367.11629343033
2025-10-01,SNDK,-441,121.12000274658203,46.80491781234741
2025-10-02,BMNR,888,56.4834098815918,-50110.46305704117
2025-10-02,BE,-2282,88.0,150705.53694295883
2025-10-02,OKLO,389,128.8000030517578,100602.33575582504
2025-10-02,IREN,1067,47.02000045776367,50431.995267391205
2025-10-02,SNDK,404,124.13999938964844,279.4355139732361
2025-10-03,BMNR,626,56.63336944580078,-35173.05375909805
2025-10-03,BE,-570,90.29000091552734,16292.246762752533
2025-10-03,OKLO,284,127.36000061035156,-19877.99341058731
2025-10-03,IREN,-1067,50.459999084472656,33962.82561254501
2025-10-03,SNDK,263,128.41000366210938,190.9946494102478
2025-10-06,BMNR,-447,63.201438903808594,28442.03783941269
2025-10-06,BE,775,86.97000122070312,-38959.71310663223
2025-10-06,OKLO,-673,138.55999755859375,54291.16525030136
2025-10-06,IREN,1168,57.75,-13160.834749698639
2025-10-06,SNDK,-111,121.16999816894531,289.03504705429077
2025-10-07,BMNR,71,59.1826171875,-3912.9307732582092
2025-10-07,BE,-775,86.05999755859375,62783.56733465195
2025-10-07,OKLO,502,134.1199951171875,-4544.670214176178
2025-10-07,IREN,-76,61.68000030517578,143.0098090171814
2025-10-08,BMNR,-1138,59.982383728027344,68402.9624915123
2025-10-08,BE,1046,87.58000183105469,-23205.719423770905
2025-10-08,OKLO,-502,134.77000427246094,44448.822721004486
2025-10-08,IREN,433,60.09000015258789,18429.85265493393
